,PSOE,,PP,,VOX,,PODEMOS-IU,,ERC-SOBIRANISTES,,Cs,,JxCAT-JUNTS,,ECP-GUANYEM EL CANVI,,EAJ-PNV,,EH Bildu,,MÁS PAÍS-EQUO,,CUP-PR,,PODEMOS-EU,,CCa-PNC-NC,,NA+,,MÉS COMPROMÍS,,BNG,,PRC,,¡TERUEL EXISTE!,,PACMA,,MÁS PAÍS,,RECORTES CERO-GV,,PUM+J,,M PAÍS-CHA-EQUO,,MÉS-ESQUERRA,,AxSÍ,,PCPE,,PCTE,,GBAI,,UPL,,PCOE,,CpM,,EB,,ERPV,,XAV,,AVANT ADELANTE LOS VERDES,,VERDES,,PH,,I.Fem,,UIG-SOM-CUIDES,,SOMOS REGIÓN,,IZQP,,AHORA CANARIAS,,CONTIGO,,CHA,,PPSO,,EXTREMADURA UNIDA,,PDSJE,,P-LIB,,MAS,,UNIDOS SÍ-ACPS-Def,,PREPAL,,ANDECHA,,MDyC,,PYLN,,FE de las JONS,,AUNACV,,UNIÓN REGIONALISTA,,Canda,,FIA,,SOLIDARIA,,RISA,,centrados,,DPL,,IZAR,,C 21,,UDT,
Nombre de Provincia,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Teruel                        ,"18,934",1,"17,520",1,"9,346",0,"3,982",0,0,0,"3,732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,761",1,212,0,0,0,0,0,35,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
Zaragoza                      ,"158,326",3,"119,909",2,"92,353",1,"57,875",1,0,0,"47,001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,618",0,0,0,861,0,485,0,"23,196",0,0,0,0,0,331,0,414,0,0,0,0,0,0,0,0,0,"1,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,068",0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asturias                      ,"186,211",3,"129,945",2,"88,788",1,"89,301",1,0,0,"37,374",0,0,0,0,0,0,0,0,0,"12,732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,412",0,0,0,732,0,487,0,0,0,0,0,0,0,626,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illes Balears                 ,"115,567",2,"103,722",2,"77,520",2,"82,225",2,0,0,"33,451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,207",0,"10,652",0,947,0,573,0,0,0,"18,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Palmas                    ,"141,078",3,"103,375",2,"64,515",1,"74,648",1,0,0,"28,018",0,0,0,0,0,0,0,0,0,"8,389",0,0,0,0,0,"48,028",1,0,0,0,0,0,0,0,0,0,0,"5,796",0,0,0,505,0,552,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,864",0,276,0,0,0,0,0,0,0,0,0,"1,110",0,358,0,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz de Tenerife        ,"132,518",2,"93,434",2,"53,491",1,"64,613",1,0,0,"22,979",0,0,0,0,0,0,0,0,0,"6,583",0,0,0,0,0,"76,261",1,0,0,0,0,0,0,0,0,0,0,"6,150",0,0,0,489,0,319,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,"1,322",0,0,0,0,0,0,0,0,0,0,0,922,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria                     ,"76,028",1,"84,583",2,"48,827",1,"28,376",0,0,0,"15,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"68,830",1,0,0,"1,856",0,0,0,232,0,187,0,0,0,0,0,0,0,262,0,247,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albacete                      ,"69,848",2,"58,835",1,"44,306",1,"20,771",0,0,0,"15,947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,651",0,0,0,222,0,375,0,0,0,0,0,0,0,177,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad Real                   ,"92,046",2,"74,835",2,"56,050",1,"22,250",0,0,0,"18,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,788",0,0,0,447,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuenca                        ,"40,670",2,"33,721",1,"20,108",0,"7,529",0,0,0,"5,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,125,0,129,0,0,0,0,0,0,0,83,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalajara                   ,"41,167",1,"30,443",1,"31,683",1,"14,897",0,0,0,"10,169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,266",0,0,0,287,0,284,0,0,0,0,0,0,0,87,0,106,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo                        ,"116,282",2,"94,378",2,"86,049",2,"34,837",0,0,0,"24,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,680",0,0,0,556,0,661,0,0,0,0,0,0,0,282,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ávila                         ,"24,474",1,"32,527",1,"17,313",1,"6,059",0,0,0,"6,119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,105,0,102,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burgos                        ,"64,182",2,"61,228",2,"29,579",0,"22,058",0,0,0,"16,214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,415",0,0,0,645,0,620,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
